date,station_uuid,diesel
1456614001.0,73142f8b,0.999
1456614001.0,265fe46d,0.999
1456614001.0,c2301b5a,1.019
1456614001.0,ca6cf07d,1.079
1456614001.0,459be729,1.064
1456614001.0,18b3ac80,0.989
1456614061.0,02f5834c,1.089
1456614061.0,862dbd5b,1.089
1456614061.0,a07f741f,1.089
1456614061.0,bb24af7d,1.169
1456614061.0,d0445c11,1.089
1456614061.0,,1.169
1456614061.0,f2ef7300,1.019
1456614061.0,ecaa161e,1.089
1456614061.0,19c801a7,1.179
1456614061.0,085f0fd3,1.109
1456614241.0,23cb4077,0.999
1456614241.0,f8dd9f46,0.999
1456614241.0,8f1b293d,1.004
1456614241.0,43973ab1,1.019
1456614241.0,d07492b4,0.969
1456614241.0,376c7260,1.109
1456614241.0,ded8bee6,1.169
1456614302.0,384d5e02,1.009
1456614302.0,2af629f5,0.949
1456614302.0,44bc2c07,0.999
1456614302.0,58d29ccf,0.979
1456614361.0,6c5a28c6,0.999
1456614361.0,4f6de997,1.069
1456614361.0,ca8919db,1.029
1456614361.0,58d29ccf,1.039
1456614421.0,0aeed7ce,0.999
1456614421.0,a212a289,1.019
1456614421.0,9d9e60c3,1.027
1456614421.0,253839e1,1.179
1456614421.0,8a3d4726,0.999
1456614421.0,aa3a4a0b,1.014
1456614421.0,94862ec3,1.049
1456614421.0,f7e2f65d,1.039
1456614421.0,b6972fc0,0.979
1456614421.0,a388f36b,1.009
1456614542.0,b5e248eb,1.169
1456614542.0,9d98dcbb,1.139
1456614542.0,8cedb45b,0.979
1456614542.0,ddaa5083,1.019
1456614601.0,2fbb9c5a,0.999
1456614601.0,c8dc6d04,1.039
1456614601.0,046da538,1.049
1456614601.0,435e7b69,1.049
1456614661.0,,1.009
1456614661.0,e3635092,0.989
1456614661.0,dfd2b591,0.989
1456614661.0,c08e7742,0.989
1456614661.0,ce8d08fc,0.989
1456614661.0,c9ee8c8d,0.989
1456614661.0,069947ad,0.989
1456614721.0,6c5a28c6,1.009
1456614721.0,2fbb9c5a,1.009
1456614721.0,0aeed7ce,1.009
1456614721.0,d3b39801,1.009
1456614841.0,a8f5bb50,1.169
1456614841.0,a24c7289,1.019
1456614901.0,04e35776,1.029
1456614961.0,b0a6c8a3,1.179
1456614961.0,6ebcf0bd,1.039
1456614961.0,7e16c19d,1.179
1456614961.0,e7a0ae36,1.169
1456614961.0,adfdc7d5,1.009
1456614961.0,a24bfa50,0.999
1456614961.0,,1.069
1456614961.0,958542ce,1.169
1456614961.0,e9a7ff5d,1.069
1456614961.0,7a8eaed9,1.069
1456614961.0,d72800fe,1.069
1456615021.0,fd8acdfd,0.969
1456615021.0,ab133851,1.009
1456615021.0,91d2ac21,1.014
1456615021.0,9b209e8a,0.989
1456615021.0,d5022b7f,1.059
1456615021.0,63a8e437,0.999
1456615021.0,3bc0aa63,1.019
1456615021.0,be63db8b,1.029
1456615021.0,3e1191fb,1.019
1456615021.0,7a952315,1.029
1456615081.0,fd8acdfd,0.969
1456615141.0,7c8cc75b,1.169
1456615141.0,b1df20da,1.169
1456615141.0,98a945b9,1.169
1456615141.0,77793a3e,1.009
1456615141.0,64bb101c,1.059
1456615141.0,26a6aed5,1.139
1456615141.0,ebb6637d,1.169
1456615141.0,8b3bfbbc,1.169
1456615201.0,be2d5691,1.019
1456615201.0,e0bab6c8,0.989
1456615201.0,77283132,1.039
1456615321.0,9b209e8a,1.029
1456615321.0,aad3e88a,1.029
1456615321.0,7eb639ab,1.019
1456615381.0,1ddbee38,1.029
1456615381.0,0593bd1c,0.999
1456615381.0,3ea4d9dc,0.999
1456615441.0,93d146a0,1.059
1456615621.0,fd8acdfd,0.969
1456615621.0,d6f28452,1.019
1456615621.0,8eb59fab,1.029
1456615621.0,de4ca432,1.029
1456615681.0,d779b267,1.019
1456615681.0,ae5b7656,1.019
1456615681.0,fd8acdfd,0.969
1456615681.0,aeba8c59,1.009
1456615681.0,4b788d2a,1.111
1456615681.0,5b63b72b,0.999
1456615681.0,e00e317c,1.069
1456615741.0,65f99718,1.019
1456615741.0,5e49a15d,1.019
1456615741.0,9a431452,1.029
1456615741.0,95dade99,0.999
1456615861.0,20342ee3,1.029
1456615861.0,98b8cd78,1.019
1456615861.0,4b788d2a,1.059
1456615921.0,65f99718,1.029
1456615921.0,9a431452,1.029
1456615921.0,f4df3f30,1.009
1456616041.0,329aad11,1.009
1456616041.0,045578a1,1.009
1456616041.0,,1.019
1456616041.0,94862ec3,1.039
1456616041.0,d2575398,1.019
1456616041.0,6e858274,0.989
1456616041.0,e91ec3d6,1.019
1456616101.0,ca6cf07d,1.029
1456616101.0,a952ede9,1.029
1456616221.0,fd8acdfd,0.969
1456616221.0,bb8c434c,1.049
1456616221.0,b484f1ea,0.999
1456616221.0,433cd102,1.169
1456616281.0,fd8acdfd,0.969
1456616281.0,d53e3a60,0.989
1456616281.0,c928ed36,0.989
1456616281.0,56f076dc,0.999
1456616281.0,a0ad552e,0.979
1456616341.0,c07bd363,1.059
1456616401.0,6306053f,0.999
1456616821.0,fd8acdfd,0.969
1456616881.0,fd8acdfd,0.969
1456617001.0,50b27f80,1.009
1456617001.0,13ac9af6,0.999
1456617001.0,6d934eee,1.079
1456617001.0,2d698eb6,1.019
1456617001.0,ffc943b9,1.139
1456617001.0,4f9ccf16,1.049
1456617001.0,34525e5b,1.169
1456617001.0,c1d6b449,1.049
1456617001.0,d9b08f78,1.059
1456617001.0,1a45c6ef,0.999
1456617001.0,0886ecde,1.029
1456617001.0,2685fde6,1.189
1456617001.0,691ce904,1.019
1456617001.0,712e5646,1.009
1456617001.0,6982586c,1.059
1456617001.0,0f6f38a4,0.999
1456617001.0,bc514af8,1.159
1456617001.0,d90a2276,1.019
1456617001.0,0b563bcc,1.079
1456617001.0,f44b6301,1.009
1456617001.0,827fe9cd,0.989
1456617001.0,bbd2a218,1.029
1456617001.0,566e4815,1.009
1456617001.0,71424e6c,1.059
1456617001.0,218b7c8b,1.069
1456617001.0,48676749,1.029
1456617001.0,fd09c85a,1.059
1456617001.0,64bc8569,1.029
1456617001.0,7af3790e,1.019
1456617001.0,b205cecb,1.009
1456617001.0,790cb266,1.069
1456617001.0,990bc1af,1.169
1456617001.0,05946741,1.009
1456617001.0,b0c139bb,1.169
1456617001.0,3965f1ec,1.069
1456617001.0,7b89feff,1.009
1456617001.0,9d4458f3,0.999
1456617121.0,8609cc97,0.989
1456617421.0,fd8acdfd,0.969
1456617481.0,fd8acdfd,0.969
1456617661.0,5ae3b069,0.989
1456617661.0,4a51e02f,0.989
1456617841.0,0dc0d8d3,1.059
1456617841.0,24696b6f,1.009
1456617841.0,57b4fcab,1.059
1456617841.0,95761004,1.059
1456617841.0,ee54e371,0.999
1456617841.0,b0e18943,1.019
1456617841.0,b01cf6f6,1.059
1456617841.0,1ea58c14,1.059
1456617841.0,1cc41339,0.959
1456617841.0,8b783ddd,1.059
1456617841.0,aebeb22e,1.059
1456617841.0,fff62873,1.019
1456617841.0,456b0585,1.059
1456617841.0,ebb75b25,1.059
1456617841.0,dff89479,1.059
1456617841.0,39195ba2,1.019
1456617841.0,42bd32f3,1.059
1456617901.0,5aa87776,1.089
1456617961.0,844f1480,1.019
1456617961.0,a9740f4d,1.009
1456617961.0,c3a73e2d,1.049
1456617961.0,645f5296,1.009
1456617961.0,67642b0d,1.019
1456617961.0,3f118a37,1.019
1456617961.0,39b32a77,1.019
1456617961.0,400f9abd,1.059
1456617961.0,128c4a0e,0.989
1456617961.0,,1.059
1456617961.0,33e1917c,1.029
1456617961.0,819ea283,1.019
1456617961.0,055d27b8,0.999
1456617961.0,555992c9,1.059
1456617961.0,43d05eaa,1.019
1456617961.0,20156578,1.009
1456617961.0,e9b4f3f5,1.019
1456617961.0,36531cac,1.009
1456617961.0,87c05c40,1.059
1456617961.0,cf4becee,0.989
1456617961.0,1422263b,1.059
1456617961.0,49925c42,1.059
1456617961.0,63038217,1.059
1456617961.0,332d02ad,1.059
1456617961.0,6577b47a,1.019
1456617961.0,ef6a4535,1.019
1456617961.0,fe8f8bee,1.009
