date,station_uuid,diesel
1466892002.0,375f0e67,1.079
1466892002.0,c2301b5a,1.109
1466892002.0,9a598c61,1.129
1466892002.0,c7804480,1.249
1466892002.0,299d6edc,1.169
1466892121.0,862dbd5b,1.209
1466892121.0,ab133851,1.129
1466892121.0,91d2ac21,1.134
1466892121.0,a07f741f,1.239
1466892121.0,21f51b7d,1.209
1466892121.0,ca6cf07d,1.249
1466892121.0,9a598c61,1.129
1466892121.0,24c052f2,1.189
1466892121.0,09cfdaed,1.279
1466892121.0,5984eea4,1.129
1466892121.0,bc5fd80b,1.109
1466892121.0,6bddc0c9,1.139
1466892121.0,b44da49f,1.169
1466892121.0,459be729,1.144
1466892121.0,8b3bba8f,1.119
1466892121.0,085f0fd3,1.279
1466892181.0,43973ab1,1.139
1466892181.0,96eb851e,1.239
1466892181.0,f2ef7300,1.139
1466892181.0,d18dd289,1.079
1466892241.0,17b8eb16,1.249
1466892241.0,69a2d28e,1.119
1466892241.0,6ebcf0bd,1.139
1466892241.0,76e85116,1.129
1466892241.0,0bec4dba,1.079
1466892241.0,59b6280c,1.119
1466892241.0,5b842987,1.119
1466892241.0,c8dd66ee,1.119
1466892241.0,b096f1e2,1.119
1466892241.0,d22c2ab6,1.139
1466892241.0,78ed45ec,1.159
1466892241.0,71e79520,1.129
1466892301.0,2af629f5,1.109
1466892301.0,2218e8d2,1.139
1466892361.0,4f6de997,1.189
1466892361.0,384d5e02,1.169
1466892361.0,253839e1,1.249
1466892361.0,8a3d4726,1.139
1466892361.0,7e16c19d,1.249
1466892361.0,77793a3e,1.149
1466892361.0,5cdcf2a5,1.159
1466892361.0,5ec35915,1.129
1466892361.0,d18dd289,1.149
1466892361.0,03afa08f,1.139
1466892422.0,fbbb030d,1.149
1466892422.0,b5e248eb,1.199
1466892422.0,9d9e60c3,1.037
1466892422.0,f3afc9a9,1.129
1466892422.0,0bec4dba,1.079
1466892422.0,aa3a4a0b,1.154
1466892422.0,71475c64,1.139
1466892422.0,d2cb3217,1.039
1466892422.0,95dade99,1.129
1466892422.0,ddaa5083,1.159
1466892422.0,db0c078d,1.039
1466892422.0,a388f36b,1.159
1466892541.0,6b5f9b32,1.129
1466892541.0,87a23e83,1.149
1466892601.0,,1.149
1466892601.0,ad1f45e5,1.139
1466892601.0,3ee07cac,1.129
1466892601.0,7c8cc75b,1.249
1466892601.0,de505192,1.249
1466892601.0,0d8a8599,1.249
1466892601.0,948a8512,1.209
1466892601.0,a9f75b32,1.229
1466892601.0,d2cb3217,1.119
1466892601.0,ebb6637d,1.249
1466892601.0,435e7b69,1.119
1466892721.0,68002bd4,1.129
1466892721.0,94862ec3,1.139
1466892721.0,cf27197f,1.129
1466892721.0,78ed45ec,1.139
1466892721.0,c7eb5131,1.049
1466892781.0,b1df20da,1.249
1466892781.0,98a945b9,1.249
1466892781.0,8b3bfbbc,1.249
1466892781.0,958542ce,1.249
1466892781.0,dc76e214,1.119
1466892841.0,c83831d3,1.119
1466892841.0,93b523f0,1.229
1466892841.0,0bec4dba,1.079
1466892841.0,f22ce4a2,1.149
1466892901.0,e7a0ae36,1.249
1466892901.0,,1.159
1466892901.0,e9a7ff5d,1.169
1466892901.0,7a8eaed9,1.169
1466892961.0,722a71e5,1.039
1466892961.0,18429d44,1.129
1466893021.0,65705e06,1.159
1466893021.0,0bec4dba,1.079
1466893021.0,64bb101c,1.159
1466893021.0,aad3e88a,1.249
1466893021.0,63a8e437,1.219
1466893021.0,3bc0aa63,1.189
1466893021.0,be63db8b,1.249
1466893021.0,dbc4bac0,1.159
