date,station_uuid,diesel
1474236031.0,23cb4077,1.099
1474236031.0,35fcaeca,1.094
1474236031.0,f8dd9f46,1.099
1474236031.0,862dbd5b,1.149
1474236031.0,a07f741f,1.269
1474236031.0,21f51b7d,1.179
1474236031.0,ca6cf07d,1.189
1474236031.0,c51b41ba,1.189
1474236031.0,24c052f2,1.199
1474236031.0,09cfdaed,1.239
1474236031.0,096b9bb0,1.099
1474236031.0,085f0fd3,1.269
1474236151.0,39bde8e3,1.129
1474236151.0,91d2ac21,1.174
1474236151.0,43973ab1,1.109
1474236151.0,253839e1,1.229
1474236151.0,2218e8d2,1.099
1474236151.0,5984eea4,1.099
1474236151.0,d00a147b,1.139
1474236151.0,f2ef7300,1.109
1474236151.0,976fb373,1.109
1474236151.0,03afa08f,1.099
1474236211.0,0d053eb3,1.189
1474236211.0,0dc0d8d3,1.119
1474236211.0,60cf6168,1.149
1474236211.0,31e85a65,1.129
1474236211.0,b484f1ea,1.109
1474236211.0,5b63b72b,1.109
1474236211.0,6ebcf0bd,1.179
1474236211.0,8c0782e7,1.139
1474236211.0,459be729,1.164
1474236211.0,10967cac,1.109
1474236271.0,bf66734b,1.119
1474236271.0,1e9c1caa,1.139
1474236271.0,ca8919db,1.149
1474236331.0,17b8eb16,1.229
1474236331.0,384d5e02,1.159
1474236331.0,8a3d4726,1.099
1474236331.0,61637c84,1.139
1474236331.0,3851f5d5,1.129
1474236391.0,c1f003e3,1.179
1474236391.0,396c4ce2,1.179
1474236391.0,aa3a4a0b,1.144
1474236391.0,77793a3e,1.129
1474236391.0,1ff0ade7,1.038
1474236391.0,a388f36b,1.129
1474236451.0,4f6de997,1.169
1474236451.0,2af629f5,1.119
1474236511.0,ec60ed5f,1.119
1474236511.0,87a23e83,1.119
1474236511.0,1d3ab507,1.119
1474236571.0,ad1f45e5,1.119
1474236571.0,3ee07cac,1.139
1474236571.0,de505192,1.189
1474236571.0,b5e248eb,1.189
1474236571.0,0d8a8599,1.189
1474236571.0,8914d28e,1.109
1474236571.0,d0fb35a1,1.189
1474236571.0,cae9afe7,1.149
1474236571.0,ddaa5083,1.179
1474236631.0,6306053f,1.104
1474236631.0,4f5899c2,1.099
1474236631.0,d3953243,1.029
1474236691.0,94862ec3,1.119
1474236691.0,8e8a5274,1.109
1474236691.0,2e4b7729,1.049
1474236811.0,adf7b918,1.119
1474236871.0,94862ec3,1.129
1474236871.0,26a6aed5,1.159
1474236932.0,b1df20da,1.259
1474236932.0,98a945b9,1.259
1474236932.0,ebb6637d,1.259
1474236932.0,8b3bfbbc,1.259
1474236932.0,958542ce,1.259
1474236991.0,1d1829c8,1.099
1474236991.0,aad3e88a,1.109
1474236991.0,3bc0aa63,1.149
1474236991.0,be63db8b,1.109
1474237051.0,,1.149
1474237051.0,54b81d07,1.139
1474237051.0,d7ee03a5,1.199
1474237111.0,7c8cc75b,1.259
1474237231.0,f58434d3,1.229
1474237231.0,317387f0,1.129
1474237231.0,,1.149
1474237291.0,9b209e8a,1.109
1474237291.0,313e84fe,1.109
1474237291.0,b338177f,1.139
1474237471.0,3b4c70df,1.219
1474237471.0,a3b115d1,1.219
1474237591.0,31105aa7,1.119
1474237591.0,3bf045f8,1.119
1474237591.0,9b209e8a,1.119
1474237591.0,a6f98df6,1.139
1474237711.0,506ea768,1.069
1474237771.0,8e390e63,1.049
1474237771.0,c3e9fea8,1.124
1474237891.0,ca6cf07d,1.109
1474237891.0,,1.159
1474237891.0,e91ec3d6,1.139
1474237951.0,e00e317c,1.189
1474237951.0,025d70e0,1.029
1474238011.0,506ea768,1.129
1474238011.0,f4df3f30,1.159
1474238071.0,8e390e63,1.129
1474238071.0,4c24bd23,1.049
1474238071.0,d2575398,1.099
1474238131.0,025d70e0,1.109
1474238131.0,433cd102,1.209
1474238191.0,7d5bf573,1.119
1474238191.0,76e0e2ad,1.129
1474238251.0,89d43501,1.249
