date,station_uuid,diesel
1500760866.0,ae0b5a92,1.219
1500760866.0,4721133a,1.129
1500760866.0,d55bad5b,1.279
1500760866.0,02f5834c,1.199
1500760866.0,60cf6168,1.149
1500760866.0,862dbd5b,1.199
1500760866.0,39bde8e3,1.159
1500760866.0,b484f1ea,1.159
1500760866.0,a07f741f,1.299
1500760866.0,c2301b5a,1.129
1500760866.0,396b08fd,1.269
1500760866.0,5f092464,1.209
1500760866.0,ab706620,1.199
1500760866.0,bb24af7d,1.289
1500760866.0,77793a3e,1.169
1500760866.0,ba6f9de2,1.279
1500760866.0,4263f1be,1.199
1500760866.0,179380b8,1.229
1500760866.0,d0445c11,1.199
1500760866.0,72ce5694,1.159
1500760866.0,c4b5690e,1.129
1500760866.0,f5ccc280,1.299
1500760866.0,ecaa161e,1.199
1500760866.0,19c801a7,1.289
1500760866.0,40e0779e,1.199
1500760866.0,5de75327,1.169
1500760866.0,459be729,1.204
1500760866.0,6b13020d,1.199
1500760866.0,768d2bfe,1.199
1500760866.0,085f0fd3,1.289
1500760866.0,142082b9,1.189
1500760866.0,7a952315,1.159
1500760926.0,43973ab1,1.179
1500760926.0,f2ef7300,1.169
1500760926.0,7edaa7ac,1.159
1500760986.0,51ff6877,1.139
1500760986.0,2af629f5,1.139
1500760986.0,ca8919db,1.159
1500760986.0,ace72885,1.229
1500760986.0,d07492b4,1.129
1500760986.0,725ea57f,1.149
1500760986.0,ea4294e9,1.119
1500760986.0,22b653b3,1.159
1500761106.0,877e2550,1.049
1500761106.0,7edaa7ac,1.159
1500761166.0,0d053eb3,1.229
1500761166.0,77979e7e,1.159
1500761166.0,8a3d4726,1.119
1500761166.0,c1f003e3,1.219
1500761166.0,5533e7bf,1.289
1500761226.0,001234ac,1.139
1500761226.0,5a10f99b,1.189
1500761286.0,ec60ed5f,1.169
1500761286.0,87a23e83,1.169
1500761286.0,1d3ab507,1.169
1500761345.0,ad1f45e5,1.169
1500761345.0,de505192,1.229
1500761345.0,0d8a8599,1.229
1500761345.0,c4799ced,1.149
1500761345.0,72162ebe,1.229
1500761345.0,d887646b,1.149
1500761345.0,15a5d68a,1.229
1500761345.0,6d40e0d7,1.129
1500761345.0,8914d28e,1.129
