date,station_uuid,diesel
1498341666.0,4721133a,1.109
1498341666.0,e399a8ea,1.149
1498341666.0,d55bad5b,1.259
1498341666.0,02f5834c,1.179
1498341666.0,862dbd5b,1.179
1498341666.0,be2d5691,1.039
1498341666.0,91d2ac21,1.134
1498341666.0,a07f741f,1.249
1498341666.0,396b08fd,1.259
1498341666.0,5f092464,1.189
1498341666.0,2218e8d2,1.109
1498341666.0,ab706620,1.179
1498341666.0,bb24af7d,1.249
1498341666.0,096b9bb0,1.109
1498341666.0,ba6f9de2,1.239
1498341666.0,4263f1be,1.179
1498341666.0,179380b8,1.199
1498341666.0,d0445c11,1.179
1498341666.0,d07492b4,1.109
1498341666.0,21269bfc,1.058
1498341666.0,f5ccc280,1.279
1498341666.0,ecaa161e,1.179
1498341666.0,19c801a7,1.239
1498341666.0,40e0779e,1.179
1498341666.0,459be729,1.174
1498341666.0,6b13020d,1.179
1498341666.0,768d2bfe,1.179
1498341666.0,085f0fd3,1.249
1498341666.0,22b653b3,1.139
1498341666.0,03afa08f,1.109
1498341666.0,142082b9,1.179
1498341666.0,93a21747,1.169
1498341726.0,51ff6877,1.139
1498341726.0,43973ab1,1.139
1498341726.0,b484f1ea,1.129
1498341726.0,f435573a,1.129
1498341726.0,ace72885,1.149
1498341726.0,725ea57f,1.119
1498341726.0,c4b5690e,1.109
1498341726.0,11ab82be,1.149
1498341786.0,39bde8e3,1.139
1498341786.0,2af629f5,1.109
1498341786.0,c40cb496,1.099
1498341786.0,ea4294e9,1.109
1498341786.0,3cdb5b8f,1.129
1498341906.0,8b1dbb36,1.149
1498341906.0,efa93e18,1.109
1498341906.0,77979e7e,1.139
1498341906.0,8a3d4726,1.109
1498341906.0,77793a3e,1.159
1498341906.0,f98afd49,1.149
1498341906.0,39ff66f8,1.149
1498341966.0,a4842df2,1.098
1498341966.0,f6d67f81,1.179
1498341966.0,c5a3cdcb,1.139
1498341966.0,5533e7bf,1.259
1498342026.0,c1f003e3,1.179
1498342026.0,935cf042,1.149
1498342085.0,ec60ed5f,1.139
1498342085.0,87a23e83,1.139
1498342085.0,1d3ab507,1.139
1498342146.0,ad1f45e5,1.169
1498342146.0,c4799ced,1.139
1498342146.0,8914d28e,1.109
1498342146.0,5ec35915,1.109
1498342206.0,de505192,1.179
1498342206.0,0d8a8599,1.179
1498342206.0,0bfa2520,1.089
1498342206.0,72162ebe,1.179
1498342206.0,15a5d68a,1.179
1498342206.0,b07905d4,1.129
1498342270.0,c61bf054,1.274
1498342270.0,324dc3f8,1.159
1498342270.0,3c4e3fea,1.139
1498342326.0,9a0a078c,1.118
1498342385.0,5136691e,1.109
1498342446.0,60cf6168,1.139
1498342446.0,253839e1,1.249
1498342446.0,bba52d69,1.169
1498342446.0,94862ec3,1.149
1498342446.0,26a6aed5,1.159
1498342506.0,2721f198,1.129
1498342506.0,74635252,1.139
