date,station_uuid,diesel
1497650466.0,4721133a,1.109
1497650466.0,e399a8ea,1.149
1497650466.0,d55bad5b,1.259
1497650466.0,02f5834c,1.179
1497650466.0,862dbd5b,1.179
1497650466.0,31e85a65,1.149
1497650466.0,a07f741f,1.259
1497650466.0,396b08fd,1.249
1497650466.0,f6d67f81,1.169
1497650466.0,5f092464,1.189
1497650466.0,2218e8d2,1.119
1497650466.0,ab706620,1.179
1497650466.0,bb24af7d,1.239
1497650466.0,77793a3e,1.169
1497650466.0,096b9bb0,1.119
1497650466.0,ba6f9de2,1.239
1497650466.0,4263f1be,1.179
1497650466.0,179380b8,1.189
1497650466.0,d0445c11,1.179
1497650466.0,74282045,1.149
1497650466.0,f5ccc280,1.279
1497650466.0,ecaa161e,1.179
1497650466.0,19c801a7,1.249
1497650466.0,40e0779e,1.179
1497650466.0,5de75327,1.149
1497650466.0,459be729,1.164
1497650466.0,6b13020d,1.179
1497650466.0,768d2bfe,1.179
1497650466.0,085f0fd3,1.239
1497650466.0,22b653b3,1.139
1497650466.0,03afa08f,1.119
1497650466.0,142082b9,1.189
1497650466.0,7a952315,1.129
1497650525.0,51ff6877,1.169
1497650525.0,b484f1ea,1.129
1497650525.0,ace72885,1.169
1497650525.0,ff263010,1.159
1497650525.0,3ea4d9dc,1.089
1497650525.0,11ab82be,1.149
1497650586.0,b208a709,1.134
1497650586.0,17b8eb16,1.259
1497650586.0,b1274f69,1.079
1497650586.0,5fcf7eea,1.139
1497650586.0,65b91ff4,1.259
1497650586.0,ea4294e9,1.129
1497650586.0,93a21747,1.159
1497650646.0,0d053eb3,1.169
1497650646.0,2af629f5,1.129
1497650646.0,ca8919db,1.169
1497650646.0,725ea57f,1.129
1497650646.0,c4b5690e,1.109
1497650646.0,b6972fc0,1.099
1497650706.0,60cf6168,1.149
1497650706.0,13228d53,1.199
1497650706.0,ea4294e9,1.099
1497650706.0,39ff66f8,1.149
1497650706.0,842da93a,1.189
1497650766.0,91d2ac21,1.134
1497650766.0,8a3d4726,1.119
1497650766.0,c1f003e3,1.179
1497650766.0,5533e7bf,1.269
1497650766.0,a388f36b,1.169
1497650825.0,f435573a,1.109
1497650825.0,c40cb496,1.109
1497650825.0,c32d3f5d,1.169
1497650886.0,ec60ed5f,1.139
1497650886.0,c4799ced,1.159
1497650886.0,bba52d69,1.169
1497650886.0,8914d28e,1.109
1497650886.0,ddaa5083,1.169
1497650886.0,74635252,1.159
1497650886.0,87a23e83,1.139
1497650886.0,1d3ab507,1.139
1497650946.0,ad1f45e5,1.169
1497651006.0,30572f18,1.134
1497651006.0,de505192,1.189
1497651006.0,0d8a8599,1.189
1497651006.0,72162ebe,1.189
1497651006.0,15a5d68a,1.189
1497651065.0,d887646b,1.129
1497651065.0,c61bf054,1.274
1497651065.0,324dc3f8,1.129
1497651065.0,f6ac0e85,1.159
1497651065.0,b07905d4,1.129
1497651186.0,26a6aed5,1.139
1497651186.0,3501927a,1.139
1497651186.0,ffcde0bb,1.168
1497651186.0,5136691e,1.129
1497651245.0,c7df12d5,1.259
1497651306.0,253839e1,1.259
1497651365.0,aad3e88a,1.189
1497651365.0,a622d33e,1.149
1497651365.0,57d1fddc,1.149
1497651365.0,be63db8b,1.189
