date,station_uuid,diesel
1495922466.0,4721133a,1.149
1495922466.0,2218e8d2,1.159
1495922466.0,77793a3e,1.219
1495922466.0,096b9bb0,1.159
1495922466.0,d07492b4,1.149
1495922466.0,815fb20c,1.199
1495922466.0,21269bfc,1.108
1495922466.0,b07905d4,1.179
1495922466.0,0a356552,1.189
1495922466.0,459be729,1.194
1495922466.0,22b653b3,1.189
1495922466.0,03afa08f,1.159
1495922526.0,51ff6877,1.169
1495922526.0,43973ab1,1.179
1495922526.0,b3daf5d6,1.199
1495922526.0,ace72885,1.189
1495922526.0,5de75327,1.159
1495922585.0,30029614,1.179
1495922585.0,1ed6826b,1.229
1495922585.0,214f33fa,1.199
1495922585.0,c4b5690e,1.159
1495922585.0,f6ac0e85,1.179
1495922585.0,ffcde0bb,1.198
1495922585.0,1cb6dd4e,1.219
1495922585.0,65b91ff4,1.289
1495922585.0,ea4294e9,1.139
1495922585.0,036b80ad,1.069
1495922646.0,2af629f5,1.159
1495922646.0,c40cb496,1.139
1495922646.0,ca8919db,1.159
1495922646.0,83be7215,1.169
1495922646.0,cf09734d,1.199
1495922706.0,60cf6168,1.179
1495922706.0,253839e1,1.299
1495922706.0,8a3d4726,1.159
1495922706.0,871acdd2,1.209
1495922706.0,61637c84,1.199
1495922706.0,5533e7bf,1.309
1495922766.0,a4842df2,1.168
1495922826.0,77979e7e,1.189
1495922826.0,c1f003e3,1.219
1495922826.0,023c4d8c,1.169
1495922826.0,6bddc0c9,1.219
1495922826.0,cfeeefb1,1.199
1495922886.0,ec60ed5f,1.179
1495922886.0,6a79b20f,1.159
1495922886.0,c4799ced,1.189
1495922886.0,0fa96932,1.149
1495922886.0,6d40e0d7,1.159
1495922886.0,8914d28e,1.189
1495922886.0,466dfd41,1.179
1495922886.0,036b80ad,1.149
1495922886.0,87a23e83,1.179
1495922886.0,1d3ab507,1.179
1495922946.0,ad1f45e5,1.209
1495922946.0,c61bf054,1.324
1495922946.0,324dc3f8,1.199
1495923006.0,30572f18,1.174
1495923006.0,de505192,1.249
1495923006.0,0d8a8599,1.249
1495923006.0,72162ebe,1.249
1495923006.0,15a5d68a,1.249
1495923067.0,e589fd9d,1.169
1495923067.0,d96f8933,1.199
1495923067.0,a59c4cfa,1.199
1495923067.0,58ec06f1,1.199
1495923186.0,bba52d69,1.209
1495923186.0,26a6aed5,1.219
1495923306.0,5ec35915,1.189
1495923365.0,aad3e88a,1.249
1495923365.0,a622d33e,1.189
1495923365.0,3bc0aa63,1.229
1495923365.0,57d1fddc,1.189
1495923365.0,be63db8b,1.249
1495923425.0,657c5e72,1.269
1495923425.0,94862ec3,1.179
1495923425.0,85edb580,1.189
1495923425.0,54b81d07,1.209
1495923425.0,2fa6d835,1.269
1495923425.0,5136691e,1.139
1495923425.0,f98afd49,1.199
1495923486.0,f58434d3,1.299
1495923486.0,97d56680,1.229
1495923486.0,b1eaa840,1.229
1495923606.0,0d053eb3,1.249
1495923606.0,94862ec3,1.199
1495923666.0,3ee07cac,1.199
1495923666.0,88180dee,1.189
1495923726.0,460c213f,1.269
1495923786.0,c07bd363,1.189
1495923786.0,c465775f,1.219
1495923786.0,3b4c70df,1.219
1495923786.0,fb46bd6e,1.239
1495923786.0,e00e317c,1.219
1495923786.0,a3b115d1,1.219
1495923786.0,025d70e0,1.169
1495923786.0,f98afd49,1.179
1495923786.0,c7eb5131,1.169
1495923966.0,b4032e28,1.199
1495923966.0,ab133851,1.189
1495923966.0,3bf045f8,1.179
1495923966.0,025d70e0,1.169
1495923966.0,3c4e3fea,1.189
1495924026.0,00a2a041,1.259
1495924026.0,d97d5b77,1.209
1495924146.0,a6f98df6,1.189
1495924207.0,e3635092,1.149
1495924207.0,dfd2b591,1.149
1495924207.0,c08e7742,1.149
1495924207.0,ce8d08fc,1.149
1495924207.0,c9ee8c8d,1.149
1495924207.0,069947ad,1.149
1495924266.0,89d43501,1.289
1495924326.0,c3e9fea8,1.194
1495924386.0,0d8a8599,1.219
1495924386.0,d2575398,1.169
1495924386.0,be68992c,1.219
1495924386.0,6e858274,1.169
1495924386.0,0fa10671,1.249
1495924386.0,1e321372,1.169
1495924506.0,a770daf6,1.149
1495924506.0,433cd102,1.259
1495924626.0,a0ad552e,1.159
1495924686.0,3b4c70df,1.239
1495924686.0,a3b115d1,1.239
1495924986.0,c89e4e5e,1.219
1495925046.0,c5a3cdcb,1.209
1495925166.0,50b27f80,1.189
1495925166.0,13ac9af6,1.219
1495925166.0,6d934eee,1.249
1495925166.0,2d698eb6,1.179
1495925166.0,ffc943b9,1.229
1495925166.0,4f9ccf16,1.239
1495925166.0,34525e5b,1.219
1495925166.0,215b0c3d,1.249
1495925166.0,c1d6b449,1.189
1495925166.0,d9b08f78,1.229
1495925166.0,1a45c6ef,1.209
1495925166.0,0886ecde,1.229
1495925166.0,691ce904,1.209
1495925166.0,712e5646,1.149
1495925166.0,6982586c,1.239
1495925166.0,0f6f38a4,1.209
1495925166.0,bc514af8,1.249
1495925166.0,d90a2276,1.159
1495925166.0,0b563bcc,1.189
1495925166.0,5d07df0f,1.179
1495925166.0,f44b6301,1.189
1495925166.0,4c03ee89,1.189
1495925166.0,827fe9cd,1.189
1495925166.0,bbd2a218,1.229
1495925166.0,566e4815,1.179
1495925166.0,71424e6c,1.189
1495925166.0,218b7c8b,1.149
1495925166.0,48676749,1.209
1495925166.0,fd09c85a,1.229
1495925166.0,91698594,1.239
1495925166.0,64bc8569,1.129
1495925166.0,7af3790e,1.199
1495925166.0,b205cecb,1.189
1495925166.0,790cb266,1.209
1495925166.0,990bc1af,1.249
1495925166.0,05946741,1.189
1495925166.0,b0c139bb,1.249
1495925166.0,3965f1ec,1.239
1495925166.0,7b89feff,1.189
1495925166.0,9d4458f3,1.169
1495925166.0,9d229bd2,1.124
1495925466.0,684b2be8,1.239
1495925706.0,6b4ba54d,1.139
1495925826.0,dfc32fdb,1.239
1495925826.0,9a598c61,1.179
1495925826.0,b511f34b,1.139
1495925826.0,5aa87776,1.259
1495925826.0,a48ea25e,1.179
1495925896.0,bb503078,1.189
1495925951.0,74635252,1.179
1495926016.0,5ae3b069,1.169
