date,station_uuid,diesel
1510959666.0,ae0b5a92,1.269
1510959666.0,30029614,1.249
1510959666.0,287da068,1.179
1510959666.0,c5ae5244,1.189
1510959666.0,15a5d68a,1.259
1510959666.0,096b9bb0,1.199
1510959666.0,1dbcc94c,1.129
1510959666.0,4c24bd23,1.169
1510959666.0,219a9764,1.289
1510959666.0,3501927a,1.149
1510959666.0,03afa08f,1.199
1510959726.0,51ff6877,1.209
1510959726.0,ace72885,1.259
1510959726.0,98d34fa4,1.149
1510959786.0,b208a709,1.124
1510959786.0,b6b02da9,1.199
1510959786.0,c2301b5a,1.209
1510959786.0,552678b9,1.149
1510959786.0,22b653b3,1.259
1510959846.0,e399a8ea,1.289
1510959846.0,8b1dbb36,1.239
1510959846.0,60cf6168,1.239
1510959846.0,253839e1,1.369
1510959846.0,2af629f5,1.189
1510959907.0,de77f6c5,1.289
1510959907.0,b1dd859f,1.169
1510959907.0,6bf6f02f,1.179
1510959907.0,5533e7bf,1.149
1510959907.0,a388f36b,1.229
1510960026.0,8a3d4726,1.199
1510960026.0,c1f003e3,1.259
1510960026.0,001234ac,1.259
1510960086.0,b5e248eb,1.139
1510960086.0,3b4c70df,1.269
1510960086.0,c4799ced,1.239
1510960086.0,bba52d69,1.169
1510960086.0,6d40e0d7,1.159
1510960086.0,a3b115d1,1.269
1510960086.0,8914d28e,1.199
1510960086.0,57c3f6b1,1.269
1510960086.0,e181d5d0,1.219
1510960086.0,ddaa5083,1.259
1510960086.0,b6458958,1.159
1510960086.0,c93086be,1.279
1510960146.0,ad1f45e5,1.249
1510960146.0,c61bf054,1.144
1510960206.0,de505192,1.259
1510960206.0,0d8a8599,1.259
1510960206.0,72162ebe,1.259
1510960206.0,b07905d4,1.209
1510960266.0,324dc3f8,1.129
1510960326.0,3ee07cac,1.249
1510960386.0,9969f9df,1.239
1510960386.0,4cb94961,1.219
1510960386.0,2b7e1a93,1.219
1510960386.0,29551109,1.289
1510960386.0,c3aa0b78,1.129
1510960386.0,2cb63a21,1.119
1510960386.0,82786d09,1.249
1510960386.0,ace72885,1.209
1510960386.0,74635252,1.239
1510960446.0,f58434d3,1.369
1510960446.0,ec60ed5f,1.239
1510960446.0,9a598c61,1.209
1510960446.0,87a23e83,1.239
1510960446.0,1d3ab507,1.239
1510960506.0,88180dee,1.239
1510960506.0,b36bbe84,1.259
1510960566.0,9a598c61,1.209
1510960566.0,5b63b72b,1.179
1510960566.0,6353816e,1.179
1510960566.0,15a5d68a,1.169
1510960566.0,7d9b502c,1.199
1510960566.0,a622d33e,1.199
1510960566.0,57d1fddc,1.199
1510960566.0,be63db8b,1.259
1510960626.0,94862ec3,1.259
1510960626.0,85edb580,1.229
1510960626.0,01f82ba4,1.269
1510960626.0,54b81d07,1.219
1510960626.0,4046b6ba,1.179
1510960626.0,69964900,1.129
1510960626.0,1d5839f0,1.129
1510960686.0,97d56680,1.249
1510960686.0,26a6aed5,1.259
1510960746.0,725ea57f,1.259
1510960806.0,bf1ede3b,1.219
1510960806.0,a6f98df6,1.209
1510960866.0,aad3e88a,1.259
1510960866.0,43624917,1.159
1510960985.0,3bf045f8,1.209
1510960985.0,025d70e0,1.199
1510960985.0,b1eaa840,1.249
1510960985.0,c7eb5131,1.239
1510961047.0,f435573a,1.229
1510961047.0,a16adda9,1.209
1510961047.0,b32ae972,1.209
1510961047.0,95832b86,1.239
1510961106.0,72933f5e,1.169
1510961226.0,d685db42,1.219
1510961226.0,de6c0c12,1.219
1510961226.0,c45f047d,1.219
1510961226.0,817bcf9d,1.249
1510961226.0,d97d5b77,1.149
1510961226.0,e82f87c9,1.219
1510961286.0,c465775f,1.259
1510961286.0,64bb101c,1.289
1510961346.0,89d43501,1.229
1510961407.0,5de75327,1.179
1510961526.0,72ce5694,1.219
1510961526.0,1c087491,1.219
1510961526.0,c22d075f,1.239
1510961526.0,f02aba4d,1.219
1510961526.0,c3e9fea8,1.264
1510961586.0,d2575398,1.189
1510961586.0,56db44d2,1.199
1510961586.0,c360e760,1.199
1510961586.0,6e858274,1.199
1510961586.0,036b80ad,1.209
1510961586.0,1e321372,1.209
1510961646.0,0d8a8599,1.209
1510961646.0,6bf6f02f,1.189
1510961707.0,be68992c,1.279
1510961707.0,433cd102,1.309
1510961826.0,ad1f45e5,1.149
1510961826.0,b4032e28,1.249
1510961826.0,a0ad552e,1.199
1510961826.0,2d02e703,1.149
1510961826.0,8c0782e7,1.219
1510961826.0,3a5b237d,1.149
1510961886.0,bba52d69,1.279
1510961886.0,0fa96932,1.209
1510961886.0,433cd102,1.309
1510961886.0,3851f5d5,1.219
1510961946.0,f1a2379b,1.208
1510961946.0,9a0a078c,1.208
1510962126.0,8325fe97,1.229
1510962246.0,50b27f80,1.229
1510962246.0,13ac9af6,1.229
1510962246.0,6d934eee,1.129
1510962246.0,2d698eb6,1.229
1510962246.0,ffc943b9,1.279
1510962246.0,4f9ccf16,1.249
1510962246.0,34525e5b,1.229
1510962246.0,215b0c3d,1.289
1510962246.0,c1d6b449,1.239
1510962246.0,1a45c6ef,1.239
1510962246.0,0886ecde,1.169
1510962246.0,691ce904,1.239
1510962246.0,712e5646,1.209
1510962246.0,6982586c,1.159
1510962246.0,bc514af8,1.139
1510962246.0,d90a2276,1.259
1510962246.0,0b563bcc,1.149
1510962246.0,5d07df0f,1.209
1510962246.0,f44b6301,1.129
1510962246.0,827fe9cd,1.239
1510962246.0,bbd2a218,1.239
1510962246.0,566e4815,1.209
1510962246.0,71424e6c,1.239
1510962246.0,218b7c8b,1.169
1510962246.0,48676749,1.119
1510962246.0,91698594,1.229
1510962246.0,7af3790e,1.219
1510962246.0,b205cecb,1.209
1510962246.0,790cb266,1.129
1510962246.0,990bc1af,1.159
1510962246.0,05946741,1.229
1510962246.0,b0c139bb,1.239
1510962246.0,3965f1ec,1.209
1510962246.0,7b89feff,1.139
1510962246.0,9d4458f3,1.219
1510962306.0,772a26c5,1.249
1510962306.0,c1f32373,1.279
1510962426.0,ca8919db,1.259
1510962486.0,5c566b33,1.119
1510962545.0,871acdd2,1.249
1510962666.0,684b2be8,1.229
1510962666.0,92a71bb7,1.209
1510962666.0,1ed6826b,1.219
1510962786.0,dd80a4bd,1.179
1510962786.0,c7eb5131,1.169
1510962966.0,5aa87776,1.249
1510963026.0,dfc32fdb,1.229
1510963085.0,bb503078,1.229
1510963085.0,460c213f,1.259
1510963085.0,ebe29594,1.219
1510963207.0,4a51e02f,1.209
1510963207.0,9e96fe00,1.209
1510963279.0,5ae3b069,1.209
1510963279.0,844f1480,1.219
1510963279.0,a9740f4d,1.209
1510963279.0,671d6e1d,1.219
1510963279.0,c3a73e2d,1.239
1510963279.0,dd62114c,1.219
1510963279.0,645f5296,1.209
1510963279.0,35822dd5,1.209
1510963279.0,3f118a37,1.239
1510963279.0,39b32a77,1.219
1510963279.0,784d4e2a,1.219
1510963279.0,d0498c7a,1.219
1510963279.0,819ea283,1.219
1510963279.0,43d05eaa,1.239
1510963279.0,20156578,1.199
1510963279.0,e9b4f3f5,1.219
1510963279.0,b4094a10,1.219
1510963279.0,36531cac,1.209
1510963279.0,a3cd819d,1.219
1510963279.0,2685fde6,1.159
1510963279.0,cf4becee,1.229
1510963279.0,858fd8de,1.219
1510963279.0,6577b47a,1.219
1510963279.0,aa4b4ae6,1.219
1510963279.0,0eec9a7b,1.219
1510963279.0,1bb94f90,1.229
1510963279.0,ef6a4535,1.219
1510963279.0,3bc0aa63,1.239
1510963279.0,88bde36e,1.189
1510963279.0,6ab142e0,1.229
1510963279.0,fe8f8bee,1.209
1510963279.0,0880a239,1.219
1510963279.0,3a3fc6fd,1.209
1510963279.0,85dcde4e,1.229
1510963331.0,ff6209cb,1.249
1510963331.0,756325f1,1.149
1510963331.0,340e9b8b,1.249
1510963331.0,bd52c7bf,1.249
1510963331.0,18ff9945,1.269
1510963331.0,1fcd9128,1.189
1510963331.0,7d9e71ad,1.189
1510963331.0,8b7a46ae,1.299
1510963331.0,e4436253,1.239
1510963331.0,504da010,1.239
1510963331.0,74ebac9f,1.169
1510963331.0,8aa5540e,1.219
1510963331.0,baa66b57,1.249
1510963331.0,6fb61b09,1.219
1510963331.0,2e72931a,1.239
1510963331.0,3920b5a4,1.249
1510963331.0,27d11827,1.249
1510963331.0,dab2adef,1.239
1510963331.0,1708f0d6,1.229
1510963331.0,989cb65d,1.299
1510963331.0,82d9d2c3,1.299
1510963331.0,448b8b44,1.219
1510963331.0,909a22a4,1.219
1510963331.0,6adb2e0c,1.139
1510963331.0,49119bd2,1.219
1510963331.0,a042f697,1.259
1510963396.0,24696b6f,1.219
1510963396.0,6a05bc91,1.169
1510963396.0,97543d60,1.134
1510963396.0,ac3b0cb7,1.219
1510963396.0,ee54e371,1.219
1510963396.0,055d27b8,1.219
1510963396.0,e7295166,1.209
1510963396.0,b0e18943,1.259
1510963396.0,4f44e38b,1.219
1510963396.0,e7d27435,1.219
1510963396.0,ded69fbb,1.269
1510963396.0,b8529633,1.219
1510963396.0,fff62873,1.239
1510963396.0,061f678d,1.219
1510963396.0,39195ba2,1.239
1510963396.0,ca9bd89a,1.219
1510963396.0,9bcbbbc7,1.269
1510963396.0,96ae55d2,1.219
1510963396.0,b44f61b0,1.219
1510963396.0,4c05520d,1.219
1510963396.0,7c912d45,1.219
1510963452.0,7db0ea2e,1.229
1510963506.0,128c4a0e,1.209
1510963506.0,5a88efab,1.209
1510963506.0,33e1917c,1.219
1510963506.0,44bf3174,1.219
1510963506.0,8d6341ad,1.259
1510963626.0,67642b0d,1.239
1510963626.0,9fbf8dcd,1.259
1510963626.0,e5a3d8f9,1.219
1510963758.0,b44f61b0,1.219
1510963809.0,7a3115f2,1.199
1510963809.0,f6d9b461,1.199
1510963809.0,1b481393,1.209
1510963866.0,4a852856,1.239
1510963866.0,a48ea25e,1.249
1510964466.0,a7e5b405,1.229
1510964466.0,34b00dee,1.199
1510964586.0,1ba4d2a5,1.209
1510964646.0,7eafe473,1.209
1510964646.0,fcafd9ec,1.279
1510964646.0,6791f8cd,1.289
1510964646.0,8cd391f3,1.279
1510964766.0,e431e0c7,1.219
1510964766.0,dc76e214,1.209
1510964945.0,e00e317c,1.219
1510965066.0,bd52c7bf,1.299
1510965066.0,20a89842,1.249
1510965066.0,2e72931a,1.299
1510965066.0,a042f697,1.299
1510965185.0,59affa92,1.299
1510965185.0,ab8081a0,1.269
1510965185.0,077aee0e,1.259
1510965185.0,042a624d,1.249
1510965306.0,e9ddb2b9,1.259
1510965306.0,8469fbc7,1.299
1510965306.0,dff7e38b,1.259
1510965306.0,042a624d,1.249
1510965366.0,6a79b20f,1.189
1510965366.0,9cfce39c,1.219
1510965366.0,8a72c03e,1.209
1510965426.0,139724a5,1.189
1510965426.0,bd3ee18d,1.259
1510966206.0,31105aa7,1.219
1510966206.0,34adc4e3,1.239
1510966206.0,7ac12ae4,1.209
1510966385.0,34adc4e3,1.129
1510966566.0,31105aa7,1.219
1510966866.0,c5151d58,1.209
1510966986.0,2721f198,1.179
1510966986.0,466dfd41,1.229
1510966986.0,9456d189,1.259
1510967046.0,5acde0f1,1.239
1510967106.0,be189140,1.239
1510967166.0,a1e17be4,1.219
1510967226.0,06c32dfe,1.269
1510967226.0,c20260d6,1.249
1510967226.0,592bb59f,1.269
1510967226.0,4204f478,1.239
1510967226.0,56f076dc,1.209
1510967226.0,5ccd5966,1.209
1510967226.0,67830b76,1.259
1510967226.0,8067eaa3,1.269
1510967226.0,e07b08d4,1.269
1510967226.0,707f276b,1.229
1510967226.0,9d205788,1.129
1510967226.0,c08bba33,1.269
1510967226.0,85f08836,1.149
1510967226.0,aa21a663,1.269
1510967226.0,f04fe50a,1.129
1510967226.0,4d70ed85,1.269
1510967226.0,bc58fcd6,1.269
1510967226.0,422c3409,1.269
1510967226.0,d02509ed,1.129
1510967226.0,9f652a92,1.229
1510967226.0,2e77c5e7,1.249
1510967226.0,bd4bb0e4,1.189
1510967226.0,c4088196,1.269
1510967226.0,7653cc6a,1.209
1510967226.0,1948ba16,1.239
1510967226.0,1595cde4,1.269
